Author,Message
pokimanesfeet,luoxuan too fast?
pokimanesfeet,<a:squadLate:808884409817366538>
pokimanesfeet,<@260064252985999360> when gfl void wr
KSF Bot,
pokimanesfeet,!top void
granis,https://youtu.be/vnwSeQKkyiE
KSF Bot,
pokimanesfeet,!top marah
lurchente,whent way better
lurchente,deviated to sanctuary b3
lurchente,didnt play that b in some time tho
tucks.,Soon
lurchente,<@260064252985999360> 💀💀💀
KSF Bot,
lurchente,!prinfo assail b4
KSF Bot,
pokimanesfeet,!top metalwall
KSF Bot,
pokimanesfeet,!top syria_again
KSF Bot,
pokimanesfeet,!rr
KSF Bot,
pokimanesfeet,!top sewers
syn.exe,<a:mackey:913209937407123467>
KSF Bot,
syn.exe,!top b1 strike
pokimanesfeet,I mean thats just cheating no?
KSF Bot,
pokimanesfeet,!cpr #2 squirrel
KSF Bot,"Invalid Usage:
!cpr [@player|#rank] [mapName]"
pokimanesfeet,!cpr #1 #2 squirrel
KSF Bot,
pokimanesfeet,!top squirrel
pokimanesfeet,u retake in 15 years dw
pokimanesfeet,didnt know u guys had a start booster
pokimanesfeet,WAS CHECKING WHY KSF IS SO MUCH FASTER
tucks.,CMON MAN
KSF Bot,
pokimanesfeet,!top forbidden_ways
syn.exe,tp is rng units on ksf
KSF Bot,
pokimanesfeet,!top fire_eye
KSF Bot,
pokimanesfeet,!mi marbleblast_inter
pokimanesfeet,I have cancer
KSF Bot,
pokimanesfeet,!mi prismatic
kusche,<:Sad:901183582490480700>
KSF Bot,
tucks.,!cp <@228271221131837440>
kingyoshi.,buck nasty has been a major help finding all this shit <:Chadge:1028129934151012352>
blink1,o
kingyoshi.,size
blink1,cos highroof kinda poppin
blink1,holy is the last column amount of downloads?
kingyoshi.,
kingyoshi.,"<@118128442725105665> The amount of shit I had to traverse through though, like how many versions they wanna make?"
kingyoshi.,<:MonkaWae:547215107055419412>
blink1,ye cs source came out in 2004 <:pepesquint:522894235851030529>
kingyoshi.,I just put 2003 but map hasnt been touched since 2005
kingyoshi.,"ahaha, did some digging through alot of map archives, thats the first version of leet ever"
blink1,o nvm description says 2003
blink1,video from 2006
kingyoshi.,<@260064252985999360> https://www.youtube.com/watch?v=89hZOzN7iP8
louieismyname,getting it zoned correctly would be a challenge
pokimanesfeet,also no one cares about the map but me
pokimanesfeet,from the zoner before dini so
louieismyname,wack
pokimanesfeet,ye u do
louieismyname,thought you were meaning skip itself after you have boost
louieismyname,cos that doesn't happen on ksf
louieismyname,ohh do you get your speed reset
pokimanesfeet,startzone is too close to boost trigger
louieismyname,or that
louieismyname,o
louieismyname,might be a model size thing again cos i felt like i had space
pokimanesfeet,ye think on gfl its zoning issue
louieismyname,uhh i didn't have a lot of trouble with it but i practiced it a bunch
louieismyname,ye that's why keeping speed makes it easier but you also have to watch out not to have too much
pokimanesfeet,also the double boost on stage 18 seems really tight is it like that on ksf?
pokimanesfeet,but u barely make it
pokimanesfeet,I kinda found a paint strat where u just jump straight into the hole with 0 speed and line up with the paint line
louieismyname,less room for error
louieismyname,ye it'll be fucked
pokimanesfeet,yea so I think its even worse
louieismyname,even harder with fat models so gl
louieismyname,you're playing on go too right
pokimanesfeet,fml
louieismyname,other than that it's fully skill issue
louieismyname,"gotta learn how to bash the walls in between ""stages"" so you don't have too much speed and get used to lining up sideways with the hole"
pokimanesfeet,its the only bad stage <a:Sadgeee:726172167837843466>
pokimanesfeet,<@206847522109390848> how do you do stage 17 on surf_y consistent
tucks.,<:Susge:872547831884427304>
ellyever,<:peepoPANTIES:547215107034316800>
KSF Bot,
tucks.,!cp #8
KSF Bot,
tucks.,!st
KSF Bot,Player is not online
tucks.,!cp #7
pokimanesfeet,!top kitsune
KSF Bot,
pokimanesfeet,!topwr
KSF Bot,"Unknown command, type !help for a list of commands."
pokimanesfeet,!ptop
KSF Bot,"Invalid Usage:
!top [mapName] or !top [mapName] [sX|bX]"
pokimanesfeet,!top
KSF Bot,
tucks.,!hswwrs <@189668517425971200>
KSF Bot,
tucks.,!pi <@189668517425971200>
KSF Bot,
tucks.,!100twrs <@189668517425971200>
KSF Bot,
pokimanesfeet,!top omnific
madhunter1000,a true gentlemen
kingyoshi.,"Don't need to, im just nerfing myself to give others a chance <:Chadge:1028129934151012352>"
madhunter1000,
madhunter1000,when put pc on floor like normal man
madhunter1000,<@659888204777914428>
kingyoshi.,<@270319994703839233>
madhunter1000,<:meat:695107053194051605> <:monke:929021292542316634>
tucks.,<@270319994703839233> heard u got topped on surf believe
KSF Bot,
pokimanesfeet,!top quickie
KSF Bot,
pokimanesfeet,!cpr #2 hotwheels
KSF Bot,
pokimanesfeet,!top hotwheels
KSF Bot,
pokimanesfeet,!top aser
KSF Bot,
pokimanesfeet,!cpr #2 surf_summit
KSF Bot,"Invalid Usage:
!cpr [@player|#rank] [mapName]"
pokimanesfeet,!cpr #1 #2 summit
KSF Bot,
pokimanesfeet,!top summit
lurchente,u mean bhop
pokimanesfeet,<@260064252985999360> which semipixel of the snow do you surf on boreas
qr,missing_no would be rad
qr,lets see an elixor run
qr,gettin there
tucks.,Respectable ?
qr,<:Monkahmm:718141996983648299>
tucks.,<@176070530703556608>
KSF Bot,
tucks.,!rp
KSF Bot,
pokimanesfeet,!top nightmare b1
lucitlm,where is he
lucitlm,hopped on took it and left
lucitlm,ye he was streaming it lol
tucks.,proud of u for beating stormy
lucitlm,valid record tho
tucks.,<:SillyChamp:586269013487648778>
tucks.,useless server that u get excited over 100t wrbs on tho
tucks.,getting them to zone reytx escapefinal rebelscaz
lucitlm,ksf only got more useless
lucitlm,ask again
lucitlm,2022
tucks.,got rejected
tucks.,asking in 2017 to add it
tucks.,yep
lucitlm,rip ur only good map
KSF Bot,"Invalid Usage:
!top [mapName] or !top [mapName] [sX|bX]"
lucitlm,!top colum
KSF Bot,"Invalid Usage:
!top [mapName] or !top [mapName] [sX|bX]"
lucitlm,!top column
tucks.,ye im deffo playing that with the new route
lucitlm,got violated there
KSF Bot,
lucitlm,!top awp
KSF Bot,
lucitlm,!top sandtrap2
tucks.,keep it up
tucks.,100t g
lucitlm,<@260064252985999360> cant allow me to have ksf recs
KSF Bot,
lucitlm,!top ardon b1
KSF Bot,"Unknown command, type !help for a list of commands."
lucitlm,!top100t ardon b1
lucitlm,farmed u into the ground
tucks.,its all u
lucitlm,sort it out
lucitlm,bro
tucks.,when
KSF Bot,
lucitlm,!top ardon b1
KSF Bot,btop is no longer supported. You can use `!top [mapName] [sX|bX]` instead.
lucitlm,!btop ardon b1
KSF Bot,btop is no longer supported. You can use `!top [mapName] [sX|bX]` instead.
lucitlm,!btop ardon 1
KSF Bot,
pokimanesfeet,!mi surf_shade
KSF Bot,
pokimanesfeet,!mi surf_original
KSF Bot,
pokimanesfeet,!top surf_illumination2
pokimanesfeet,Real
tucks.,needs a wooloo keyboard smh...
pokimanesfeet,<a:Sadgeee:826993087909855242>
tucks.,was so close so many times
tucks.,yea i watched and i cried too
pokimanesfeet,Sad
pokimanesfeet,He has every AT and couldn’t get that one
tucks.,had like every cotd wr for 90% of the month
tucks.,but his time was few months ago
tucks.,dexter still goat
pokimanesfeet,Rip dexter
tucks.,and owning
tucks.,ye he legit just perma chilling
pokimanesfeet,Ye he got midora AT legit
tucks.,learns so fast and just sets gg times whilste mega chilling
tucks.,elconn goat imo
pokimanesfeet,He’s like one of 3 people that know how to fly with reactor
pokimanesfeet,Nah haven’t watched recent
tucks.,-1.5 on wr
tucks.,elconn legit owned it
tucks.,with reactor
tucks.,did u see medicine skip on totd from few days ago
pokimanesfeet,Reactor boosting across entire maps
pokimanesfeet,Also medicine is the biggest nerd on trackmania
pokimanesfeet,Perfect speed slides full risks everything
pokimanesfeet,Mudda is so satisfying to watch and I’ve never even played the game
tucks.,"good hmu when ur addicted and we play to high elo surely,"
kingyoshi.,"ill try it out again, i dont expect much though"
kingyoshi.,"I mean, it looks fun"
tucks.,ok tell me this isnt u in HNS but shooter version....
tucks.,
tucks.,tape just covers them up so i can stand on them
tucks.,i have tht for my ethernet now
tucks.,just put it underneath and tape the cables to floor
tucks.,is ur bed close to pc
kingyoshi.,"could do but then i cant sleep, my bed placement would make it hella awkward"
tucks.,it just feels so good jumping over someones head and them feeling lost af lol
tucks.,
tucks.,just put it between ur legs lol that was my setup xd
kingyoshi.,"I can't, got shit under my desk <:festivepepe:547215106598240267>"
tucks.,just move it lol
tucks.,also why is ur tower on ur desk
kingyoshi.,This space aint doing that bossman
tucks.,do u play fps on high sens
kingyoshi.,
kingyoshi.,Like
tucks.,how no
kingyoshi.,"nah like, i legit cant do that lol"
tucks.,someday youll see the light and we will run it up mr yoshi.
tucks.,dats it
tucks.,scroll up +fowards for turning fast
tucks.,scroll down +jump on walls
tucks.,u learn it so fast
tucks.,its legit the same engine
tucks.,ur good at hns
kingyoshi.,I cant do that
tucks.,and walljumping
tucks.,the ropes are just so fun
tucks.,like
tucks.,https://youtu.be/EJWGM1cozIg?t=44
kingyoshi.,id rather strafe irl <:peepoCoffee:704539291904245860>
tucks.,its mnk only
tucks.,u cant do the movemnt on it
tucks.,ok controller is zzzzz
kingyoshi.,"i played like 3 games of apex back on xbox, never been so bored in my life"
kingyoshi.,https://tenor.com/view/csgo-movement-kz-bhop-climb-gif-18388857
tucks.,cann strafe like cs with bind on mousewheel
tucks.,trust
tucks.,mouse and keyboard movement just has so many possibilites
kingyoshi.,Shit game
tucks.,ye
kingyoshi.,is that the battle royale one?
tucks.,legends
kingyoshi.,wait which apex we on about?
tucks.,100x more satisfying than any surf map
tucks.,the movement is so good
tucks.,its source engine lol
kingyoshi.,apex is doggy change my mind
tucks.,took too much effort
tucks.,my game of the year for learning to be good was apex
tucks.,just dont have the effort to be a noob at a game again
kingyoshi.,too busy testing someones map rn though <:PogO:801417697920548884>
tucks.,i always spec him and daniel3k playing it in discord
kingyoshi.,"maybe, kinda wanna learn it on my own rn, had quite alot of fun with it"
tucks.,yea
kingyoshi.,For defrag?
tucks.,hes the goat
tucks.,u gotta hit up <@200084342397992960>
kingyoshi.,"Maybe, im more getting into defrag rn"
tucks.,https://tenor.com/view/sea-of-thieves-strafing-gaming-gamer-so-t-gif-20214399
kingyoshi.,https://tenor.com/view/rbhop-bhop-gauge-gog-pin-the-gog-gif-20325100
tucks.,couldnt get used to it
kingyoshi.,this is me to everyone who knows me for strafes
tucks.,i didnt like it because it has max limits if u get me
kingyoshi.,<:peepoSit:929019546596180041>
tucks.,and mouse input for rest
tucks.,turnbinds on m1 m2 for when u run out of mouse space
tucks.,https://www.youtube.com/watch?v=wAPVb9FSmHE&lc=UgySysYrToKXdtBLcCt4AaABAg.9c6Pdw6DMCE9c8nwuODVIM&ab_channel=bozbez
tucks.,bozbez legend
KSF Bot,
tucks.,!top skill8_h
tucks.,maybe u will own on it
tucks.,and he uses mouse
tucks.,u know theres a ksf surfer who moved to trackmania in like 2018
tucks.,maybe youd own it..
tucks.,u had to strafe and stuff for +2 units
kingyoshi.,<:blush:929021291795709993>
tucks.,still dont
tucks.,but just didnt understand the game enough to save 01
tucks.,wanted wr so bad
tucks.,dats me baby
kingyoshi.,
tucks.,think theres 1 mil completions on it
tucks.,+01 sadge
tucks.,<a:GIGACHAD:912381879439741029>
tucks.,https://trackmania.io/#/campaigns/leaderboard/fab938e9-05e3-4c09-856f-62f10579a243/0liUTlKkh9dQ6ahhNXMvfeit5ia
tucks.,and campaign maps are just so insanely ggd
tucks.,nolifed track 01 on the campaign
tucks.,i started it earlier this year
kingyoshi.,<:Chadge:1028129934151012352>
kingyoshi.,"Boutta lose tucks to trackmania, kinda based"
tucks.,might go play tmnf and find worlds best sc never seen before
kingyoshi.,Fuck Nightmare surf
kingyoshi.,Dream group is Fastest Way Only
kingyoshi.,"I only know people like pablo, the spanish guy"
kingyoshi.,Ah
tucks.,but pac is best uk
tucks.,carl jr best player of all time i meant
tucks.,best uk
tucks.,o u meant
kingyoshi.,
kingyoshi.,He's from canada?
tucks.,which is why its so insane that mudda -00d him
kingyoshi.,I only know very few people
tucks.,just wins everything
tucks.,carl jr
kingyoshi.,Who's the best?
tucks.,pac <:Sad:901183582490480700>
tucks.,he got out in the most unlucky way
tucks.,uk has a good player too
tucks.,so theyre all so insane at them
tucks.,it was so good man they get given the maps months before
kingyoshi.,My ass clenched at 3am wtf
tucks.,next finish wins
tucks.,double overtime
tucks.,<@659888204777914428> there u go
tucks.,https://youtu.be/vQ5n9pdXOY4?t=2928
tucks.,sec
tucks.,i didtn timestamp
tucks.,wait
tucks.,its so insane
tucks.,u gotta watch the next tmgl
tucks.,-006
tucks.,<@659888204777914428> https://youtu.be/vQ5n9pdXOY4
tucks.,<:Sad:901183582490480700>
tucks.,he said neva
kingyoshi.,?
kingyoshi.,When sneaky gonna do this
kingyoshi.,"Holy shit, that was clean asf"
tucks.,was so good
tucks.,he won tmgl by like -00.00.007
tucks.,was owning this map
tucks.,this guys entire life
tucks.,https://www.youtube.com/watch?v=h-suyG1tNRg
kingyoshi.,"Nah, send the video"
tucks.,on that one map
tucks.,after like 3 yrs
tucks.,finally
tucks.,did u see the run mudda hit
tucks.,yep
kingyoshi.,You seen the longest tracks video? <@260064252985999360>
kingyoshi.,https://tenor.com/view/rta-rta-viable-tas-trackmania-sheesh-gif-25466538
careful_,💀
careful_,Like that 01 track prob a 200hr tas
tucks.,need different approaches
tucks.,so many diff ways to do things
tucks.,its fked
tucks.,ye they do
careful_,They just spend hella time on each part
careful_,I thought in tm tas they have like 20 people do it
kingyoshi.,"Yeah, there's so much technicality"
kingyoshi.,https://tenor.com/view/trackmania-tmnf-game-car-bug-gif-26330419
tucks.,so tasser has to have 4k hours too
tucks.,problem with trackmania is u need so much knowledge to know whats faster
tucks.,but im sure hed have fun
tucks.,etc
tucks.,like they can edit per tick
tucks.,theres alrdy tas tools which are best u can do i think
kingyoshi.,has batman tried trackmania tas before?
tucks.,op
tucks.,ye
kingyoshi.,they're insane
kingyoshi.,Have you seen tases on trackmania?
kingyoshi.,<:Chadge:1028129934151012352>
kingyoshi.,"Nah thats me, im the nosebug god"
tucks.,pov me
kingyoshi.,https://tenor.com/view/trackmania-hop-on-tas-hop-on-trackmania-speedrun-gif-23424214
tucks.,acktually airtime is bad in trackmania
tucks.,<a:Nerd:929019631782490132>
pokimanesfeet,wheel guy washed
kingyoshi.,https://tenor.com/view/fast-car-gif-22098603
kingyoshi.,footage of me going on that track rn
tucks.,granady who <a:GIGACHAD:912381879439741029>
tucks.,
kingyoshi.,Watch out
tucks.,when u pulling up on this track
tucks.,<@659888204777914428>
tucks.,mudkip so unique
granis,so good
granis,the crazy bonus
granis,ye
pokimanesfeet,<a:Sadgeee:826993087909855242>
pokimanesfeet,I love surf_mudkip
granis,never talked to him before :(
granis,mightve been
tucks.,was he terminal or something
tucks.,damn is his pfp him in hospital?
kingyoshi.,<:Sad:901183582490480700>
granis,ye
kingyoshi.,damn wtf
pokimanesfeet,couldnt be me who tf is <:squadL:814620249324388373> <a:AINTNOWAY:1040013811219963924>
granis,"dont remember what from, but was announced by a friend of his last month"
tucks.,yea actual goat
pokimanesfeet,thats sad af those maps are so good
kingyoshi.,https://tenor.com/view/cat-hug-cat-cant-wait-cag-club-club-gif-18345045
tucks.,thats fked
granis,yep
tucks.,actual died??
tucks.,damn rip...
tucks.,oh
tucks.,OH
granis,the guy who made mudkip and eryr
tucks.,<@124446795400085504>
tucks.,whats rnc
pokimanesfeet,looks like a random to me
kingyoshi.,You tell me boss
granis,actual sadge
pokimanesfeet,wtf <:Sadge:728207178690854973>
pokimanesfeet,whos that
tucks.,but nice
tucks.,shit meat meatballs
tucks.,the shit meat
tucks.,but same way that its like
tucks.,well not donner
kingyoshi.,"yeah yeah, ive had doner meatballs if its what your on about"
kingyoshi.,ooooo
kingyoshi.,"hm, would have to try em"
tucks.,like doner meatballs
tucks.,theyre nice actually
kingyoshi.,
kingyoshi.,"i forgot about those, what are they called again?"
tucks.,do we just rework our food too
tucks.,even the full slur is a food here
tucks.,atleast not up north
tucks.,nobody here calls them cigs
kingyoshi.,i still hear this at bus stops
granis,ye surf_pokemon isnt happening because rnc died last month and noone else had the files for it <:Sad:901183582490480700>
tucks.,even if 0 americans had the slur in their vocabulary
tucks.,if uk just came up with a uk specific slur which was called 'dollar' would we just expect them to rework their currency because its offensive or what
tucks.,like
tucks.,brb need a pack of fags from shop
tucks.,its what theyre called
tucks.,yea i use it too
kingyoshi.,ive always used that
tucks.,we literally dont use that slur and im pretty sure they made it after we did
kingyoshi.,i thought fag was common term for ciggys
tucks.,goofy ahh americans fr
kingyoshi.,ahaha
tucks.,funny convo
tucks.,<@659888204777914428> jsut watched the vod for the conversation about <a:peeposmokeCig:755711317201125417>
granis,wasnt pokemon the collab RNC was making?
kingyoshi.,
kingyoshi.,
pokimanesfeet,<@302432172751454210> surf_pokemon waiting room
tucks.,<:WeSmart:736600409367642184>
tucks.,then dont buy vip again
tucks.,"just buy vip, farm to top500 using the servers"
tucks.,vip gives access
kingyoshi.,"i dont have vet or top500, i dont skillsurf <:Chadge:1028129934151012352>"
tucks.,Just go on vet or top500
kingyoshi.,only issue is no private server = no way im even playing it for more than 10 minutes
kingyoshi.,rank 3 isnt nofail i believe
kingyoshi.,i think rank 1 is nofail with a pretty clean run
kingyoshi.,"i can top 3, i know that"
kingyoshi.,"Ask someone to make it, commission it"
tucks.,Surely u wr that bonus on css
tucks.,Make biscuit map tho fr
kingyoshi.,i just want a nofail
kingyoshi.,This hurts
kingyoshi.,https://www.youtube.com/watch?v=REIDBrsA6go
kingyoshi.,like
kingyoshi.,Meant to say how to surf ramp enjoyably
tucks.,And endzone jump into massive cuppa ☕️
tucks.,Digestive textures
kingyoshi.,How do i make surf ramps enjoyable
pokimanesfeet,real
careful_,Best emotes
careful_,<:4WeirdChamp:695740122812907670>
careful_,
pokimanesfeet,<a:OuttaPocket:725915756562350100>
pokimanesfeet,im your only 3 month sub
careful_,Till Thanksgiving
careful_,Still in the keys
pokimanesfeet,<@387618687840026625> go live
pokimanesfeet,I lose .1 on the start too idk what to do different
pokimanesfeet,my end is perfect tho so its super annoying
pokimanesfeet,I only need .05 I think
pokimanesfeet,can try that later ig never did that
tucks.,I just crouch the board
tucks.,Nah
pokimanesfeet,that shit makes no sense and I lose 100 units
pokimanesfeet,<@260064252985999360> do you paint where to leave on the 90 degree turn on summit
tucks.,I’m noob
careful_,Ask tucks
pokimanesfeet,<a:Sadgeee:826993087909855242>
pokimanesfeet,gfl group 1 hard now
pokimanesfeet,<@387618687840026625> need summit coaching
b_ly,Im stopping rossberg from passing bearz
b_ly,cap
tucks.,But rossberg > all soon
tucks.,Soon
b_ly,bearz > levi or nah
tucks.,Bearz the goat ofc
b_ly,as a real surf enjoyer I can officially say bearz > tucks all time.
tucks.,<:vtf:1024697710793740429>
b_ly,bro gave up
tucks.,Fine by me
b_ly,<@260064252985999360> you fell off in my book
lurchente,u can do it
lurchente,u did fornax so easy
lurchente,wdym
tucks.,Imp
lurchente,<@260064252985999360> when fiellu b4
KSF Bot,
Deleted User,!rp
syn.exe,🐐
pokimanesfeet,🐐
KSF Bot,
pokimanesfeet,!rp
__ted,Why is it not on the wall
pokimanesfeet,play in the airport <:4Weird:662711334810550272>
careful_,Plus im retired
careful_,Not even home
pokimanesfeet,<@387618687840026625> go live
ano2,Fi Amanillah
ano2,you will surf with extra units 😊🤲
tucks.,sajjāda
tucks.,inshallah
tucks.,
pokimanesfeet,Instant pb
pokimanesfeet,💀
pokimanesfeet,I never knew the tree on summit had no collision
b_ly,Thank you!
__ted,Nice job!
KSF Bot,
